ObjectClass,Name,whenCreated,whenChanged,DistinguishedName
"top, attributeSchema",ms-IIS-FTP-Dir,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Option-Description,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Transport-DLL-Name,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",ms-DS-Applies-To-Resource-Types,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",Country-Name,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",meetingBlob,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-IIS-FTP-Root,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Options,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Transport-Type,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",ms-DS-RID-Pool-Allocation-Enabled,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",ms-DS-Az-Operation,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",IpHost,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",Create-Dialog,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",meetingContactInfo,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-Imaging-PSP-Identifier,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Options-Location,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Treat-As-Leaf,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",ms-DS-cloudExtensionAttribute1,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",Create-Time-Stamp,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",meetingDescription,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-Imaging-PSP-String,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Organization-Name,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Tree-Name,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",ms-DS-cloudExtensionAttribute2,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",ms-DS-Az-Role,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",IpNetwork,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",Create-Wizard-Ext,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",meetingEndTime,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-net-ieee-80211-GP-PolicyGUID,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Organizational-Unit-Name,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Trust-Attributes,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",ms-DS-cloudExtensionAttribute3,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",Creation-Time,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",meetingID,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-net-ieee-80211-GP-PolicyData,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",organizationalStatus,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Trust-Auth-Incoming,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",ms-DS-cloudExtensionAttribute4,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",ms-DS-Az-Scope,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",NisNetgroup,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",Creation-Wizard,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
